operator_name,total_cap_mw,num_states,sector_name,avg_capacity_factor_2024,capacity_factor_trend,market_share_pct
Madison Windpower LLC,11.55,1,NAICS-22 Non-Cogen,0.07397353708829117,-0.08592955314266788,0.009295335279645092
Pantex (NNSA),11.5,1,Commercial NAICS Non-Cogen,0.23494297933000713,-0.13105844618674267,0.009255095732979961
Consolidated Edison Solutions Inc.,11.4,2,NAICS-22 Non-Cogen,0.23987714963034396,,0.0091746166396497
Musselshell Wind Project LLC,10.5,1,NAICS-22 Non-Cogen,0.2503469511666233,-0.03214719403243993,0.008450304799677356
Musselshell Wind Project Two LLC,10.5,1,NAICS-22 Non-Cogen,0.28747072599531615,-0.047207043108682456,0.008450304799677356
"Cassia Wind Farm, LLC",10.5,1,NAICS-22 Non-Cogen,0.2048963483389713,-0.0010405282331511778,0.008450304799677356
Brookfield Renewable Trading and Marketing LP,10.0,1,NAICS-22 Non-Cogen,0.18852037795992715,-0.016051085961555106,0.008047909333026054
Durbin Creek,10.0,1,NAICS-22 Non-Cogen,0.19456967213114754,-0.08755692167577414,0.008047909333026054
Eastridge Wind Project,10.0,1,NAICS-22 Non-Cogen,0.21203324225865208,-0.0009676684881602948,0.008047909333026054
Prospector,10.0,1,NAICS-22 Non-Cogen,0.20969945355191258,-0.07986111111111108,0.008047909333026054
Ralls Wind Farm LLC,10.0,1,NAICS-22 Non-Cogen,0.12025273224043716,-0.04099499089253188,0.008047909333026054
Benson Creek,10.0,1,NAICS-22 Non-Cogen,0.2290528233151184,-0.09208788706739529,0.008047909333026054
Jett Creek,10.0,1,NAICS-22 Non-Cogen,0.20991575591985429,-0.09089253187613844,0.008047909333026054
Willow Spring,10.0,1,NAICS-22 Non-Cogen,0.24375,-0.09356785063752279,0.008047909333026054
Everpoint Services Inc,10.0,1,NAICS-22 Non-Cogen,0.0,,0.008047909333026054
Galactic Wind,9.9,1,Commercial NAICS Non-Cogen,0.25349119611414694,0.009394951334842083,0.007967430239695794
"Threemile Canyon Wind I, LLC",9.9,1,NAICS-22 Non-Cogen,0.2577689462935364,-0.031991131717907684,0.007967430239695794
Odessa Energy Services LLC,9.9,1,NAICS-22 Non-Cogen,0.22760620779746463,,0.007967430239695794
PaTu Wind Farm LLC,9.0,1,NAICS-22 Non-Cogen,0.37771959117587534,-0.025273224043715847,0.007243118399723448
